ssNo,name,phone,birthday,vaccinationStatus,role,employer
,Cristopher Tillman,040-115-0704,1971-02-26,1,nurse,Messukeskus
,Brielle Botsford,040-416-5419,1972-02-12,1,nurse,Messukeskus
,Elwyn Heathcote,040-077-0520,1974-03-08,1,nurse,Messukeskus
,Jeramy Feest,041-284-2831,1974-05-16,1,nurse,Messukeskus
,Rosalia Simonis,041-608-6703,1974-07-31,1,doctor,Messukeskus
,Shaylee Kris,040-018-1740,1975-07-26,1,doctor,Messukeskus
,Hilbert Purdy,040-154-3703,1975-12-12,1,doctor,Messukeskus
,Elnora Greenholt,050-930-9351,1976-01-02,1,doctor,Messukeskus
,Darryl Douglas,040-363-8047,1976-04-20,0,doctor,Messukeskus
,Richmond Kuvalis,040-722-7332,1976-12-05,1,nurse,Malmi
,Candido Anderson,040-800-8852,1978-10-30,1,nurse,Malmi
,Aimee Bruen,050-867-1567,1979-02-12,1,nurse,Malmi
,Keshawn DuBuque,050-830-6384,1979-08-17,1,nurse,Malmi
,Ollie Becker,040-321-9861,1981-09-23,1,nurse,Malmi
,Mario Wuckert,040-739-4876,1986-06-07,1,doctor,Malmi
,Austen Simonis,050-688-1407,1987-10-16,1,doctor,Malmi
,Greg Schuppe,044-508-7140,1977-11-12,1,nurse,Tapiola Health Center
,Ashley Konopelski,041-898-5555,1991-01-22,1,nurse,Tapiola Health Center
,Kaden Tromp,044-624-1591,1992-08-02,1,nurse,Tapiola Health Center
,Philip Smitham,044-086-4206,1990-01-03,1,nurse,Tapiola Health Center
,Jeromy McKenzie,040-135-4985,1993-03-15,1,nurse,Tapiola Health Center
,Deon Hoppe,040-399-1121,1974-09-19,0,nurse,Tapiola Health Center
,Jordy Hilpert,044-506-1982,1994-06-15,1,doctor,Tapiola Health Center
,Florine Leannon,044-525-4083,1992-07-20,1,doctor,Tapiola Health Center
,Madisyn Shanahan,044-646-8740,1983-10-20,1,doctor,Tapiola Health Center
,Autumn Abshire,050-116-0560,1993-06-08,1,nurse,Iso Omena Vaccination Point
,Blanca Gaylord,050-833-6807,1970-12-08,1,nurse,Iso Omena Vaccination Point
,Hiram Nicolas,050-904-1622,1982-07-21,1,nurse,Iso Omena Vaccination Point
,Itzel Ernser,050-354-1907,1973-10-07,1,nurse,Iso Omena Vaccination Point
,Rafaela Jerde,040-860-5999,1992-02-11,1,nurse,Iso Omena Vaccination Point
,Norwood Murphy,044-488-4064,1957-12-27,0,nurse,Iso Omena Vaccination Point
,Ned Bergnaum,040-262-4581,1968-01-15,1,nurse,Iso Omena Vaccination Point
,Rosie Hansen,050-670-4220,1973-10-09,1,doctor,Iso Omena Vaccination Point
,Monte Raynor,040-114-9158,1990-05-13,1,doctor,Iso Omena Vaccination Point
,Vesta Considine,044-022-9671,1980-03-10,1,nurse,Sanomala Vaccination Point
,Jazlyn Schneider,040-868-2528,1963-08-12,1,nurse,Sanomala Vaccination Point
,Samir Hills,040-093-0059,1977-10-03,1,nurse,Sanomala Vaccination Point
,Kelvin Hamill,040-499-1574,1966-06-01,1,doctor,Sanomala Vaccination Point
,Haylie Wintheiser,050-448-8894,1988-08-17,1,nurse,Myyrmäki Energia Areena
,Elena Bartell,041-938-9451,1982-02-18,1,nurse,Myyrmäki Energia Areena
,Alfreda Champlin,041-631-1851,1972-02-23,1,nurse,Myyrmäki Energia Areena
,Rod Upton,050-590-9802,1970-02-04,1,doctor,Myyrmäki Energia Areena
,Nadia Jacobson,041-144-8822,1961-03-30,1,doctor,Myyrmäki Energia Areena
